	1   2   3   4   5   6   7   8   9   10   11   12   13   14   15   16   17   18   

ADD	F   D   X   M   W   
NOP	F   D   X   M   W   
SUB	    F   D   X   M   W   
SW	    F   D   X   M   W   
SUB	        F   D   X   M   W   
BEQ	        F   S   S   D   X   M   W   
SUB	                        F   D   X   M   W   
BEQ	                        F   S   S   D   X   M   W   
SW	                                        F   D   X   M   W   
NOP	                                        F   D   X   M   W   
SW	                                            F   D   X   M   W   
NOP	                                            F   D   X   M   W   
SW	                                                F   D   X   M   W   
NOP	                                                F   D   X   M   W   
SW	                                                    F   D   X   M   W   
